participantID,A,rank_0_elab,rank_2_A_elab,rank_equaltxt_elab,rank_txt_elab,rank_0,rank_2_A,rank_equaltxt,rank_txt,rankElab_A,B,rank_1_elab,rank_2_B_elab,rank_3_elab,rank_1,rank_2_B,rank_3,rankElab_B,generatedChart,chartSemanticLevel,chartSemanticLevel_next,takeaway1,takeaway2,takeaway3,takeawayInfoReliance,attn_check,lit 1_1,lit 2_1,lit 3_1,lit 4_1,lit 5_1,lit 6_1,pref 1_1,pref 2_1,pref 3_1,pref 4_1,chartQuote,readingQuote,age,education,chartFreq,chartFreqValue,chartContext,chartContext_12_TEXT,readShortFreq,readShortFreqValue,readLongFreq,readLongFreqValue,readContext,readContext_12_TEXT,comments
42,2,"It helps me see what happened clearly, but I don't like that there's no explanation.",Again don't like how it isn't explaining why it spiked unlike the first block of text.,This is much better than the last but I don't like that it doesn't explain what caused a spike.,It's simple and easy to understand.,4,2,3,1,,3,The reason given in the graph itself in the earlier versions were better.,"I like it, honestly I'm not sure what about it is different from the last one.",I assume there's more info I'd get from a block of text to help me understand but overall this paints a good picture.,3,2,1,,1,2,,There were more immigrants in 2012 than 2011.,Immigration was steady for decades until the late 2010s.,,2,3,5,5,5,4,2,4,3,5,3,4,4,6,25 - 34,Some college,Once a week,5,"News article (online),Infographics,Government reports",,Few times a month,4,Few times a week,2,"Job or career,News (online or print),Scientific publications,Books,Magazines,Short stories,Manuals or instructions,Government reports",,
43,8,I do not like that there's no annotations and I'm left to wonder why there was a strange outlier section of the graph.,Well it points out the obvious when there was a sudden incline which is somewhat helpful but I would prefer that there be some information as to what caused the sudden increase also.,I like how there is information on what major event occurred at to very crucial points in the data. ,While it would be nice to have a visual of the data I do like the detail of how the app performed and why.,4,3,1,2,I feel like the visual along with key information is the easiest way to process and understand the data. After that I prefer the text because it is very complete. Finally there are two more graphs left and obviously I prefer the one that has some annotation over the one without any.,4,I guess the bold text giving an overview of what happened is nice but again it's information I can figure out on my own and would prefer some kind of explanation as to why this happened.,I guess it's somewhat helpful to point out the maximum point though I wish there was more annotation especially since it's only pointing out what should be obvious to most people looking at the graph.,This is more helpful especially the explanation for the sudden rise in the stock at one of the lowest points.,3,2,1,I put it in order of the graph that has the most text information to the least text information because obvious the more text the better a person can understand the graph.,5,3,,Between 2017 and 2018 there was a sharp rise then sudden fall in presidential approval rating.,Between 2015 and 2017 the presidential approval rating remained stagnant.,Between 2018 and 2020 there was a steady decline in presidential approval rating.,4,3,6,4,4,5,4,3,5,5,4,6,6,5,45 - 54,4 year degree,Few times a week,6,"Social media,News article (print),News media (e.g., television news),Infographics",,Every day,1,Few times a week,2,"Social media,News (online or print),Books,Magazines,Short stories",,
44,9,This is how I grew up looking at graphs so it is familiar and I am easily able to read it,I like that they gave more information about the peak and why it remained stable during that time,"This is very detailed. I can see that this is a new stadium. I can see the events of what leads to less or more attendance, and how it is affected","I am a visual person, so I prefer a graph to read the information. On a graph I can see it clearly, when reading I sometimes have to read it more than once to retain it, so it takes longer",3,2,1,4,The information is detailed and easier to spot,1,I can see that they are saying job growth and policies encouraged more immigrants by a lot ,"This is simple and to the point and I can easily follow it, but there is no information really showing why","The box at the end gives a little more information, but its not needed since we can see its from 1960 to 2020 on the graph",2,1,3,"they all are really pretty much the same as far as information, I prefer the cleaner look",4,1,3,The median household income rose from 20k to 80k in the early 80's,In mid 80's it plummets from 80k to 30k,it slowly climbs back up to 80k from 1990 to 2010,4,3,4,4,4,4,5,4,6,6,6,5,5,6,45 - 54,High school graduate,Few times a week,6,"News article (online),Health information,Scientific publications,Government reports",,Every day,1,Few times a week,2,"Social media,News (online or print),Scientific publications,Books,Short stories,Government reports",,
45,1,"I like that the visual helps a person looking at it to see the dramatic change that took place, but I feel that it lacks enough information to explain what is going on in the chart. For example, it doesn't tell you the cause of the sharp increase in immigration.","This chart works because it includes a visual of the uptick in immigration over the years and gives an explanation for it, but it leaves me with questions about why there was a slight uptick in 1970. I don't feel that part is explained clearly.","I like that this offers both a visual and written explanation of what is going on. The chart is labeled clearly, which helps the viewer understand it better. It also gives an explanation for the rise you see in the chart. There is nothing I dislike about this chart as I feel it has everything I need included in it to understand it easily.",I like that it is a summary that I can read. It is easy to understand in this format. I dislike that there is no visual component. Some people are visual learners and might find it harder to grasp the information fully without seeing a chart.,4,2,1,3,I prefer the chart that combines both visual and written information the most. I think it helps the widest variety of learning styles to understand the chart.,9,"This visual doesn't give any explanation for the dip and rise in game attendance, which I would prefer to have to better understand what is going on in the chart.","I like this because it shows visually the drastic change in attendance over the years, but it is lacking information about why it dropped so steeply and then rose again.",I like that the visual gives a clear understanding of the data. I don't like that it doesn't give an explanation as to why attendance plummets.,3,2,1,The chart I prefer has the most information included in it. ,8,1,4,The chart shows the number of app users from 2010 to 2020,There's a sharp rise of users in 2012,Right after 2012 there is a sharp decline in app users due to issues with the app from an upate.,3,3,4,4,4,3,4,2,5,4,5,6,6,6,35 - 44,Some college,Few times a week,6,"Social media,News article (online),News article (print),News media (e.g., television news),Health information,Scientific publications,Infographics",,Every day,1,Every day,1,"Social media,News (online or print),Scientific publications,Books",,None
46,3,"I guess I like the simplicity of the chart because it is not overcrowded with information, but that also means I don't get any context for the information.  Without a title, it's difficult to understand what I'm really looking at.",I still don't like the title of the chart because it is too long but still doesn't provide enough information about what I'm looking at.  I think the annotation on the chart is very helpful to put the time period of the late 1960's into context.,The title is confusing and doesn't help me understand the graph very much.  I like the annotations because they help put the sharpest decline period into context by giving a reason why it happened.,"The text is very easy to understand, but there is not enough detail for me to truly understand what the dropping stock index means or why it happened.",4,1,2,3,,3,I think the graph is too simple and doesn't provide any context.  The title is too long and still doesn't give any information about causes for the decline.,"I think the annotation at the top is really helpful in putting some reasoning behind the sharpest decline.  The title is long, but not really very informative.",I think the annotation on the chart is very helpful to put some reasoning behind the sharpest decline period.  I think the annotation at the bottom of the chart is unnecessary because the information can be determined quickly just by looking at the graph.,3,1,2,I think the annotation during the 1960's is really important because it provides some context and reasoning to the chart.,8,1,,The number of app users spiked between 2012 and 2014,"Other than the spike, the number of app users has been in decline since 2010",App use was higher in 2010 than in 2020,5,3,5,5,5,5,5,5,5,5,6,6,6,6,35 - 44,4 year degree,Few times a week,6,"Job or career,News article (online),News media (e.g., television news),Infographics",,Every day,1,Few times a week,2,"Job or career,Social media,Books,Magazines",,none
47,7,It's simple and easy to read but doesn't contain any real details on why the data is like that,"It's easy to read, but the text highlighting data from 1980 to 1982 seems to indicate a part of the visual that starts before 1980. It also seems unnecessary. ","It has details in the text and can be absorbed more quickly than a block of text, but it also feels cluttered","It's detailed, but it's hard to absorb quickly",3,1,2,4,I'd rather have some detail and easy absorbability than a block of text that takes more time to read,8,It depicts the user trend well but gives no indication of why there's such sudden changes,"It's easy to parse and contains some detail about what's going on, though the text seems extraneous",I like that it indicates what caused the sudden spike downward,3,2,1,,1,2,4,Immigration suddenly spiked sharply upward around 2018,Immigration was relatively stable across the years prior to that,,5,3,4,5,4,4,4,4,5,6,5,6,6,5,35 - 44,High school graduate,Few times a month,4,"Social media,News article (online),News media (e.g., television news)",,Every day,1,Every day,1,"Social media,News (online or print),Books",,
48,8,Looks clean and is easy to follow.,I dont like that it is sort of unclear what the text refers to.,I think it looks a bit jumbled with the description inside the chart. ,No visual. I do not like that. Have to dig for info.,1,2,3,4,,7,Easier to follow because there is less on the page.,Clean look and bold years. Easy to follow.,It helps that the years in the descriptions are bold,1,2,3,,7,4,,It did not seem to flow like a line. The numbers took spikes either upwards or downwards often.,The chart was easy to read.,,4,3,5,4,5,5,4,4,4,4,5,5,5,4,25 - 34,4 year degree,Few times a month,4,"News article (online),News media (e.g., television news)",,Every day,1,Once a week,3,"News (online or print),Books",,
49,2,"It takes some time to think about what it's showing without a title and annotations.  It's clean without that, but I don't care for the chart as is. I would just say that the trend of household income has increased with a spike around 2008.  It's hard to tell the exact year given hose close the years are to one another and in ten year increments.",It is easy to interpret and understand.  The title summarizes what the graph shows.  I would like the x axis to be spread a little further apart.,I don't think the grey arrows are necessary because it's already easy to see the trend in the blue line.  I like the annotations as then I don't have to think as much about the visual.,"While it does a great job of summarizing the information, it's easier to understand the length of time by looking at the visual than by reading the text alone.  But in general, because the information is simple and really only has two parts (1960-2008 and 2008-2010) the information can be easily understood without the graph.",4,3,1,2,"The chart summarizes the information in the narrative form in a way that is easier to digest, and is more impactful seeing it.  What I selected as 3 is missing a bit of information, and 4 simply doesn't tell the whole story.",2,"It summarizes the key point, but visually it's sparse and doesn't really capture my attention.","The title summarizes what I'm seeing but the annotation is a bit repetitive given I can see there is a spike, but it helps to see what year it started given that's not totally clear from the axis.",The box on the axis is not needed given it doesn't provide anything that isn't already clear.  Other than that the title and annotation are helpful.,3,1,2,,2,2,,Household income increased steadily and at about the same rate from 1960-2008,From 2008-2010 there was a spike in household income,"Overall, household incomes have increased from 1960-2010",5,3,5,4,5,5,6,4,5,6,5,6,6,6,55 - 64,Professional degree,Few times a week,6,"Job or career,News article (online),Infographics",,Every day,1,Every day,1,"Job or career,Social media,News (online or print),Books,Short stories,Brochures",,
50,4,"It's pretty easy to read/understand the chart, but I prefer the charts with more information on them.",I like that it's easy to understand and read the data.,I like the text on the chart indicating (technological boom) and (maximum). It's also easy to understand the data.,"It's difficult to follow, there is too much information to process in the format of a paragraph vs a chart.",3,2,1,4,"I like the amount of information in the first chart, and I prefer charts over written text.",5,"I like this method, but I prefer to have more information on a chart, indicating reasons for the rise or fall of the line on the chart",It's very easy to read and understand the data,"I really like this one, as it gives more information than just lines. I like how it tells me about the steep fall to a steady decrease.",3,2,1,,2,1,4,base wage jumped from 60k to 80k in 2010,showed years spanning from 1960 to 2010,,4,3,4,4,5,4,4,4,5,6,4,6,6,4,35 - 44,2 year degree,Few times a month,4,"Job or career,News article (online),Health information",,Every day,1,Few times a month,4,"Social media,News (online or print),Books",,
51,2,I MISS THE TEXT GIVING MORE INFORMATION THAT I CAN FOCUS ON. THIS GRAPH IS SIMPLE AND COMPARED TO THE OTHERS NOT AS ABLE TO FOCUS ME ON WHAT IS HAPENING TO MEDIAN INCOME. BOTH AXIS TEST IS CLEAR AND UNDERSTANABLE.,THE GRAPH GIVES ME A CLEAR VIEW OF WHAT HAS HAPPENED OVER A 50 YEAR PERIOD BY DECADE. THE AXIS OF YEAR AND MEDIAN ARE CLEAR AND UNDERSTANABLE. THE TEXT IS HELPFUL IN EXPLAINING WHAT WAS HAPPENING EACH DECADE.,THE AXIS INFORMATION I CLEAR AND EASY TO READ. THE ARROW TEXT HIGHLIGHTS A BIG CHANGE IN THE GRAPH OVER 2 YEARS WHICH GETS MY ATTENTION ANS DOES TO TEXT AND ARROW STARTING IN 1960,READING THIS TEXT WITHOUT AND GRAPHS IS DIFFICULT FOR ME. VISUALLY I FEEL THERE ARE BETTER WAYS TO ACCOMPLISH YOUR UNDERSTANDING OF CHANGES IN MEDIAN HOUSHOLD INFORMATION BY DECADE.,3,2,1,4,IF I WAS LOOKING AT ALL FOUR WHICH ONE WOULD I WANT TO PRESENT TO SOMEONE WHO WAS INTERESTED IN MEDIAN INCOME CHANGES OVER A PERIOD.,3,"I DO NOT LIKE THE LACK OF TEXT GIVING MORE FOCUS ON WHAT IS GOING ON IN THE DECADES. THIS IS THE WEAKEST OF THE PREVIOUS GRAPHS ON THIS TOPIC, AXIX ARE STILL CLEAR BU I MISS THE TEXT OF OTHERS",COMPARED TO THE PREVIOUS GRAPH THE TEXT IS NOT AS HELPFUL AND DOES NOT FOCUS ME ON IMPORTANT TRENDS IN THE GRAPH. AXIS ARE CLEAR AND UNDERSTANDABLE. SOME OF TEXT IN GRPAHY IS HELPFUL.,BOTH AXIS ARE CLEAR. I LIKE THE TEXT BEING HIGHLIGTED BECAUSE IT GETS MY ATTENTION AND GIVES ME MEANINGFUL INFORMATION ON THE GRAPH. THE TEXT AT THE TOP OF THE GRAPH IS VERY HELPFUL EXPLAINING THE GRAPH. I LIKE THE ARROW AT THE TOP HIGHLIGHTING MORE FOCUS OF INFORMATION,3,2,1,AGAIN I RANKED BASED ON WHAT I WOULD PRESENT TO SOMEONE WHO WANTS TO VIEW WHAT IS HAPPENING ON THE STOCK INDEX AND MAKE IT AS CLEAR AS POSSIBLE.,5,3,4,BIG INCREASE IN PRESIDENTAL APPROVAL RATING WHEN INITITATIVE FOR CHILD HUNGER WERE IMPLEMENTED,PRESIDENTAL APPROVAL RATING DROPPED SLOWLY AFTER THE INTITAL INCREASE FROM HILD HUNGER INITIATVIE WERE IMPLEMENTED,,2,3,5,5,5,5,5,4,6,5,5,6,6,5,45 - 54,4 year degree,Few times a month,4,"News media (e.g., television news),Other (enter below)",FINANCIAL INFORMATION,Few times a week,2,Few times a month,4,"Job or career,News (online or print),Books,Other (enter below)",FINANCIAL REPORTS,NO ISSUES INTERESTING SURVEY
52,1,I like that the image is clean and free of clutter so it is easy to understand. It should probably have a title at the top though. ,I like that you can visually see the increase rather than reading about it. ,I dislike that the text at the top is an opinion while the information displayed in the chart is a fact. ,I like that it is clear and concise and uses words to get the point across but visual aids might be better for some people. ,1,3,4,2,,7,I like that it is clear what is being shown but I could do without the text at the top. ,I feel like the arrow is unnecessary. ,I dislike the arrow and the extra text on the peaks.,1,2,3,,5,1,4,The approval rating went up after the president made changes to lower child hunger. ,"There was a sharp spike in approval rating, then it went back down to what it was before. ",,4,3,3,3,3,4,4,1,4,3,2,2,2,6,35 - 44,4 year degree,A few times a year,2,"Job or career,Social media,News media (e.g., television news)",,Every day,1,Few times a week,2,"Job or career,Social media,Books,Magazines,Short stories",,
53,8,It lacks a title to easily inform you exactly what is being represented.,The vertical axis lines are too light.,It highlights the time frame and causes of the increase in users with text annotations.,There is no visualization of the data.  You have to read the text and search to find answers.,3,2,1,4,,6,A slightly more granular year scale would be better.  I don't like the 5 year increments.,It's difficult to tell which year has the lowest national debt without annotation.,I like how it shows the lowest point/minimum with the annotations.,3,2,1,,6,3,,The national debt was at its lowest point in the early 90s.,The national debt climbed to its highest points starting in the 2000s.,,3,3,4,4,4,4,5,3,6,5,5,5,5,5,45 - 54,4 year degree,Few times a week,6,"News article (online),News article (print),News media (e.g., television news),Health information,Infographics",,Every day,1,Every day,1,"Social media,News (online or print),Books,Magazines,Short stories,Manuals or instructions,Brochures",,
54,5,"I'm confused because this is exactly the same information shown on the last page. I like that it's just data on paper, and I can draw my own conclusions based on what is easily seen.","It's very interesting, if true. The steady Obama(criticism=racism) years, with a giant spike in approval for (gasp) Trump, followed by the cratering. It's very in-your-face and easy to read. It lets you make your own conclusions. It's just data on paper, nothing to dislike.",It makes conclusions based on opinion. It thinks for the reader instead of allowing the reader to do the thinking. Widespread corruption? In 2017? Would that be the debunked/fabricated Russia Russia Russia nonsense? And the decrease is shown pre-2018 while the text says the fall was after the impeachment(of late 2019). Misinformation at its finest.,"It discusses different time periods, different presidents(without mentioning that the periods cover two different administrations), too many words. It makes a lot of assumptions based on personal opinion(""due to widespread corruption""??). I don't like anything about this.",1,2,4,3,"1 lets me do the thinking, 2 pointlessly marks out the maximum(which is easy to see without the text), 3 is vague and scattered and 4 is propaganda.",9,It's just data. I like that I can do the research myself and make my own conclusions on why the chart looks the way it does. Nothing to dislike since it's simply charted data.,I don't understand why it's presenting the 2009 spike that way. It's drawing a conclusion based on zero information shown. It's confusing and looks like media manipulation of the reader.,"The data is there to see, but I hate that it draws conclusions on the cause of the changes. It thinks for the reader.",1,2,3,,3,1,3,Some stock index(what stock index??) declined dramatically,"Something happened to some stock index in 1962 to make to decline to nothing, when the stock market has increased over the same period.",This is incomplete information/a lot is missing.,3,3,5,5,6,5,5,5,5,6,6,6,6,6,55 - 64,4 year degree,Few times a month,4,"Job or career,News article (online),News article (print),News media (e.g., television news),Health information,Scientific publications,Infographics,Government reports",,Every day,1,Every day,1,"Job or career,Social media,News (online or print),Scientific publications,Books,Manuals or instructions,Brochures,Government reports",,
55,9,"It is factually accurate I guess, but it appears to be lacking context.",I appreciate the annotation indicating the context behind what appears to be a statistical anomaly.,"While I appreciate the amount of information, it's messy and poorly laid out. The annotations could be more uniformly connected to points on the line.","The use of K instead of writing out the number made this harder to skim, an I had to read it twice to understand it.",4,2,1,3,"While #1 is too busy, it is also the most informative. #2 is just a less informative #1. #3 contains all the information but it's dense and hard to parse, and #4 is impossible to parse without some new context.",8,"The graph is clean and nuanced, the scale of the axes is consistent.","Again, the arrow attached to the annotation is a simple way of providing additional context to the annotation.",The grey arrow attached to the annotation make it very clear what part of the graph is being annotated.,3,2,1,I ranked them from most to least informative.,8,4,,A new updated increased user count,"This update was broken, and users started leaving.",The user count never recovered after the broken update.,3,3,5,5,6,6,5,5,4,6,4,6,6,6,25 - 34,Some college,Every day,7,Job or career,,Every day,1,Once a week,3,"Job or career,Social media,News (online or print),Books,Manuals or instructions,Government reports",,"No issues, questions, comments, or concerns, thanks!"
56,4,I think the maximum mark should be included.,Clean presentation. Able to understand trends.,Clean and quick to understand. ,Nothing. All of this could have been shown with a simple chart that would be way quicker. ,3,2,1,4,I like adding context to graphs.,4,Clean and basic graph. A good start.,Clean and easy to understand tend lines. I'd like a bit more data like inflation adjustment?,Adds in historical points that MAY contribute to changes.,3,2,1,,7,1,,Immigration has not been consistent over time. ,Immigration peaked at 2m,1970 and 2010 numbers were close.,4,3,6,5,6,5,4,5,4,5,4,6,6,5,35 - 44,Professional degree,Few times a week,6,"Job or career,News article (online),News article (print)",,Every day,1,Every day,1,"Job or career,Social media,News (online or print),Books,Magazines,Short stories",,
57,3,I don't like that there is no text explaining what anything is or what I am looking at.,I like that it doesn't seem overly crowded with information. I think the overall look of the graph is good.,"The text explains really well what I am looking at, I think the axis should be swapped to make it make more sense.","The text doesn't really show me how the decline looked, to me this is just words and I can read it but I don't think that I am really understanding it.",3,1,2,4,"#1 I really like because it has the visuals, and it has the text but it's not throwing a million things of information in your face at once. I hate #4 because I can read that but I won't really understand what it is trying to tell me.",2,"I like that it explains what it is, the text doesn't seem overly explaining every detail.",The graph is so easy to understand! I can glance at it and really grasp what it is telling me.,I like that I understand what the whole graph means. I don't like how it seems like it is bombarding me with information.,3,1,2,"Compared to the others, #3 doesn't really tell me anything. I'd rather be loaded with information than not have any.",5,4,,The people liked that the president had a hunger program,The president peaked at 80% approval rating,The president declined in popularity a year/two years after the hunger program,3,3,4,5,4,4,5,3,6,5,6,5,5,4,35 - 44,Some college,A few times a year,2,"Social media,News media (e.g., television news),Infographics",,Every day,1,Few times a month,4,"Social media,News (online or print)",,
58,7,It looks like a simple chart. It is easy to read,It's getting a little more complicated but overall I'd still think it's easier to read,I like how it shows all the information in the chart. Maybe there's a little bit too much information getting distracting,I believe a chart would work better. Just too much information to read I'm more of a visual person,2,3,1,4,,6,It's over simplified,It's simple and easy all the important information is on it,i like how it gives the minimum in the chart,3,2,1,,8,3,4,In 2013 it peaked for large issues for users,In 2012 there was a rapid increase,The app users tanked in 2014,4,3,5,5,5,5,5,3,5,6,5,6,6,6,35 - 44,4 year degree,Few times a week,6,"Social media,News article (online),Health information,Infographics",,Every day,1,Few times a week,2,"Social media,News (online or print),Books",,
59,6,I like that it gives a visual of the drop and rise of the national debt but it doesn't give information on how this happened over the years.,I like that it shows the fall of the debt and then the rise and gives a reason as to why in the later years but no information on the earlier years.,I like that this gives textual information along with the graph as the two being used together give context and easier understanding of the debt.,I dislike that I have to visualize the information in my head for understanding. It would take effort for me to fully focus to comprehend the numbers that are used in the written text.,4,3,1,2,I chose the visual with the textual information as the highest because I can see what the debt did over the years. ,9,The graph only shows the up and down movement with no explanations as to why they are fluctuating.,I like the visual but there is not enough information to let me know why there was an attendance drop in the first place.,I like that it shows me the overall attendance for the years with some information as to why there were up and down years.,3,2,1,I chose my first choice because it used the graph in combination with textual information to understand the graph.,6,2,,The debt in 1960 was 30T ,It was it's lowest after 1990 and before 2000,The debt steadily rose until it reached 30T in 2000,3,3,6,6,6,6,6,6,6,6,6,6,6,6,45 - 54,4 year degree,Few times a month,4,"Job or career,News media (e.g., television news),Infographics,Government reports",,Every day,1,Every day,1,"Job or career,Social media,News (online or print),Books",,
60,6,I like the overall clean look of the graph. There really isn't anything I dislike.,"I like the clear lines and clean axis labels. I dislike the text annotation slightly, although it is helpful to understand part of the graph.",I like that it has clear axis categories. I dislike how jumbled the visual area is with all the text annotations.,I like that it is a thorough explanation of why the national debt fluctuated like it did. I suppose I slightly dislike it because a chart would have been easier to read.,1,3,4,2,,5,"I like this graph, I don't dislike anything about it.",I like how clean and clear the whole graph is. I dislike nothing.,"Readily understood axis categories I like. I dislike the text annotation, it jumbles up the visual area.",1,2,3,"I guess I don't need a dot telling me what the maximum was, I can see that clearly.",9,2,3,Sports game attendance was higher in 2020 than 2000,Sports game attendance was lower than 5000 around 2009.,Sports game attendance was around 5000 around 2011-2,5,3,6,6,4,4,5,2,4,6,5,5,5,6,45 - 54,4 year degree,Few times a week,6,"News media (e.g., television news),Scientific publications",,Few times a week,2,Few times a week,2,"News (online or print),Scientific publications,Books",,
61,6,It's pretty basic and simple and easy to understand. I don't like that there isn't any explanation of the data. Some annotations would give more insight,The information is displayed pretty simple and its easy to understand. The text annotation helps explain the data.,I like how the data is clear and there are plenty of annotations. The annotations help explain the data. The only issue I have is the graph looks a bit messy with all the text,There are no visuals. it's all text and hard to visualize how things changed. I have to reread it multiple times to understand it.,3,1,2,4,,7,This is bare bones which is nice. It's clutter free and easy to read and understand. There isn't any annotation that would further explain the data,Things are simple and clear. The annotation doesn't provide any new information that the graph doesn't already explain.,It's easy to follow and understand. I don't think the text annotations are helpful because i could have figured that information out on my own. It doesn't add anything,1,2,3,I like additional annotations if they provide new insight. these annotations don't,4,4,,the technology boom caused a spike in household income in the mid 1980,the median household income was stagnate until the early 1980,around 1990 the median household income crashed almost back down to where it started and slowly raised after.,4,3,4,4,4,4,4,4,6,5,5,5,5,5,35 - 44,Some college,Once a week,5,"Social media,News article (online),News media (e.g., television news)",,Every day,1,Few times a month,4,"Social media,News (online or print),Manuals or instructions",,
62,2,It's easy to read an doesn't have a bunch of stuff all over it to distract you.,Since it is hard to see individual years it is nice to have the extra information.,I think the decades are too close together but I understand it and it is easy enough to read.,I do not like a block of text. It makes you not want to deal with it.,2,3,1,4,,5,It is very easy to read this graph. The years make it easy to understand.,I feel like the maximum is unimportant.,I do not need the extra information.,2,1,3,,4,1,,Income spiked around the 60s,income is going down now,Income was higher decades ago comparatively to now.,4,3,5,5,5,5,3,4,3,6,3,4,4,4,35 - 44,High school graduate,Every day,7,"Job or career,Scientific publications",,Every day,1,Few times a week,2,"Books,Manuals or instructions",,
63,5,I can clearly see data year to year,2017-2018 feels skewed ,This method is best for me to understand. I like seeing text combined with data.,"This method for me, is easier to understand",4,3,1,2,,4,I feel like I need more information,Its easy to comprehend.,This gives me the best understanding of the graph,3,2,1,,4,2,4,80k was standard income in the 1990s,It fell shortly after the 90s,Income crept back up to 80k the next few decades,3,3,3,3,3,3,3,3,4,3,5,4,4,4,25 - 34,4 year degree,Few times a month,4,Job or career,,Every day,1,Few times a week,2,Job or career,,
64,1,"It gives me a basic idea but I have no idea what's going on.  I have to assume it's even referring to the US, because as is I could assume it's worldwide.","I like that it's very easy to see, but that it doesn't label what happened with government policy that encouraged the immigration.  The annotation is irrelevant.","I like that it is very clear and descriptive.  It tells me exactly what happened when it spiked, as well as giving me easy to understand info about the uptick.  Very thorough.","I like that it doesn't have extraneous information, is precise about the quantities, and follows a logical temporal ordering.",4,3,1,2,"While I understand things textually, having the visual really makes it stick in my mind.",7,"I like that I have an image of immigration numbers over time, but I feel like it's not even trying to give me context.","I don't like that there's no information about what the changes in direction mean.  The decreases aren't explained, especially as they are sharp.",I like that from the title I know that the low points probably reflect a change in policy that made it increase.  But the annotations just explain things that are irrelevant and easy to see from the chart anyway.  But I have no idea why the decreases happen.,3,2,1,"I don't really know what's going on regardless, but at least the first one seems like it's trying to help me understand what's happening, so I feel a bit closer to the creator.",9,3,,The couple years around 2010 saw a spike in attendance.,Something happened around 2011 that saw it plummet within a year.,After that plummet it rose again.,4,3,5,5,4,4,5,4,4,6,5,6,6,6,35 - 44,4 year degree,Few times a week,6,"News article (online),Health information",,Every day,1,Few times a week,2,"Job or career,News (online or print),Books",,
65,9,This is at least value neutral compared to the previous version.  I like it better without the text.,"Although the text explains the anomaly in the middle of the chart, there are otherwise large data trends that are seemingly ignored.  It implies one feature of the data is relevant and another isnt rather than just presenting the data.",It is way too busy with all of the text.  At that point you may as well just have a separate explanatory paragraph.  ,"Unlike the graph, this gives context to the other data trends.",2,4,3,1,,9,I like that it just presents the data without interpretation.,"Again, this places weight on a single phenomenon instead of the data as a whole.  The arrow is unnecessary.","""Attendance plummets"" and ""due to""  is interpreting rather than just presenting the data. The role of the graph should just be to present the data. ",1,2,3,,8,1,2,There was an overall downward trend in app users from 2010 to 2020,There was a large increase in users in roughly 2012,The number of app users from 2015 to 2020 was roughly stable around 50K,5,3,6,6,6,6,6,6,4,6,4,5,5,6,35 - 44,Professional degree,Every day,7,"Job or career,Health information,Scientific publications,Government reports",,Every day,1,Every day,1,"Job or career,News (online or print),Scientific publications,Books,Manuals or instructions,Government reports",,
66,5,"I don't like that there is no information as to why the approval rating saw a large bump and then a giant decrease.
I like that the numbers are easy to read and line up with the line on the graph. It makes it relatively easy to read.","I don't think the word maximum is necessary. The graph makes it pretty clear what the highest approval rating is just by looking at it. I also don't like that there isn't any accompanying information as to why the approval rating fluctuates.
I like that the numbers are easy to read and estimate the approval ratings at any specific year.","I like how the chart states why there is such a large increase and decrease. It makes it clear why the approval rating is rising and falling.
I don't think there needs to be a label saying maximum, it's pretty clear without it.","I don't like that the information is presented in a big wall of text, but with that said it is pretty easy to read and very well written and clear. The information makes clear why the approval rating has gone up and down and that's a good thing.",3,4,2,1,,4,"The title isn't needed. The graph alone makes it clear what has happened with household income over the last 50 years.
There could be some information as to why household income had a large spike and then shortly after a large drop.",I don't find the title very necessary. People should be able to figure that out from looking at the graph. The maximum point is also unnecessary as anyone can tell the highest point in the graph just by looking at it.,"The title isn't necessary as anyone can tell what is going on just by looking at the graph.
I like that the graph has the technological boom labeled, but there is no information as to why the boom helped increase median household income, so that's confusing. And again, the maximum point isn't needed.",2,3,1,,9,1,2,Sports attendance in 2020 is where it was in 2000.,"There was a large decrease in sports attendance from 2000 until 2010, when there was a large spike until 2012.",After 2012 there was a sharp decrease in sports attendance but it has been steadily increasing since then.,5,3,5,5,6,5,6,5,3,5,4,5,5,6,35 - 44,4 year degree,Few times a month,4,"Job or career,Social media,News article (print),News media (e.g., television news),Health information,Infographics,Government reports",,Every day,1,Few times a week,2,"Job or career,Social media,News (online or print),Books,Magazines,Short stories,Manuals or instructions",,Well done.
67,7,I can understand the numbers but this image gives no context of why the number of immigrants changed over time.,I can understand the image but I prefer the one that detailed individual policies in the text.,I can easily understand the timeline of policy changes and their effect on immigration.,"It isn't very easy to visualize the information. I can follow it, but it takes effort.",3,2,1,4,My top pick gives the most information and provides context for the changes.,8,I can understand that there has been a decline in app usage but the image doesn't give any reason as to why.,This image doesn't have any explanation for why people stopped using the app. I can see something happened but I don't know what it was.,This image gives the information for why there was a shape decline in usage.,3,2,1,,1,1,2,Immigration was very stable from 1960 to 2018.,There was a shape rise in immigration in 2018.,,4,3,6,6,6,6,6,6,6,6,5,6,6,6,45 - 54,Some college,Few times a week,6,"News article (online),News article (print),News media (e.g., television news),Scientific publications",,Every day,1,Few times a week,2,"Job or career,Social media,News (online or print),Scientific publications,Books,Short stories",,
